Index,TeamA,TeamB,TeamAruns,TeamBruns,TossWinner_Name,TossDecision,PlayConditions,MatchWinner_ID
606,Punjab,Bangalore,88,92,2,1,-1,Bangalore
607,Kolkata,Rajasthan,145,142,1,1,-1,Kolkata
608,Mumbai,Punjab,186,183,4,1,-1,Mumbai
609,Bangalore,Hyderabad,218,204,11,1,-1,Bangalore
610,Delhi,Chennai,162,128,3,1,1,Delhi
611,Rajasthan,Bangalore,164,134,5,0,-1,Rajasthan
612,Hyderabad,Kolkata,172,173,11,0,-1,Kolkata
613,Delhi,Mumbai,174,163,6,0,1,Delhi
614,Chennai,Punjab,159,153,3,1,-1,Chennai
615,Chennai,Hyderabad,140,139,3,1,-1,Chennai
616,Kolkata,Rajasthan,169,144,5,1,-1,Kolkata
617,Kolkata,Hyderabad,160,174,1,1,-1,Hyderabad
618,Chennai,Hyderabad,178,181,3,1,1,Chennai
